Controller and Auditor-General,Audit,9314,9314,Audit and Assurance Services,Audit and Assurance Services,Single,Departmental Output Expenses,,Core Government Services,150,2015,Actuals,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.,78,Speaker of the House of Representatives
Controller and Auditor-General,Audit,9314,9314,Audit and Assurance Services,Audit and Assurance Services,Single,Departmental Output Expenses,,Core Government Services,150,2016,Actuals,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.,78,Speaker of the House of Representatives
Controller and Auditor-General,Audit,9314,9314,Audit and Assurance Services,Audit and Assurance Services,Single,Departmental Output Expenses,,Core Government Services,2482,2017,Actuals,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.,78,Speaker of the House of Representatives
Controller and Auditor-General,Audit,9314,9314,Audit and Assurance Services,Audit and Assurance Services,Single,Departmental Output Expenses,,Core Government Services,150,2018,Actuals,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.,78,Speaker of the House of Representatives
Controller and Auditor-General,Audit,9314,9314,Audit and Assurance Services,Audit and Assurance Services,Single,Departmental Output Expenses,,Core Government Services,1550,2019,Estimated Actual,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.,78,Speaker of the House of Representatives
Controller and Auditor-General,Audit,9314,9314,Audit and Assurance Services,Audit and Assurance Services,Single,Departmental Output Expenses,,Core Government Services,1850,2020,Main Estimates,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.,78,Speaker of the House of Representatives
Controller and Auditor-General,Audit,8783,8783,Audit and Assurance Services,Audit and Assurance Services,Single,Departmental Output Expenses,Revenue Dependent,Core Government Services,76353,2015,Actuals,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.,78,Speaker of the House of Representatives
Controller and Auditor-General,Audit,8783,8783,Audit and Assurance Services,Audit and Assurance Services,Single,Departmental Output Expenses,Revenue Dependent,Core Government Services,77436,2016,Actuals,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.,78,Speaker of the House of Representatives
Controller and Auditor-General,Audit,8783,8783,Audit and Assurance Services,Audit and Assurance Services,Single,Departmental Output Expenses,Revenue Dependent,Core Government Services,76433,2017,Actuals,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.,78,Speaker of the House of Representatives
Controller and Auditor-General,Audit,8783,8783,Audit and Assurance Services,Audit and Assurance Services,Single,Departmental Output Expenses,Revenue Dependent,Core Government Services,83614,2018,Actuals,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.,78,Speaker of the House of Representatives
